GeneID	REP1.B_b	REP1.B_m	REP2.B_b	REP2.B_m	REP3.B_b	REP3.B_m	REP4.B_b	REP4.B_m	REP1.M_b	REP1.M_m	REP2.M_b	REP2.M_m	REP3.M_b	REP3.M_m	REP4.M_b	REP4.M_m	REP1.BM_b	REP1.BM_m	REP2.BM_b	REP2.BM_m	REP3.BM_b	REP3.BM_m	REP4.BM_b	REP4.BM_m	REP1.MB_b	REP1.MB_m	REP2.MB_b	REP2.MB_m	REP3.MB_b	REP3.MB_m	REP4.MB_b	REP4.MB_m	REP1_B.total	REP1_M.total	REP1_BM.total	REP1_MB.total	REP2_B.total	REP2_M.total	REP2_BM.total	REP2_MB.total	REP3_B.total	REP3_M.total	REP3_BM.total	REP3_MB.total	REP4_B.total	REP4_M.total	REP4_BM.total	REP4_MB.total
GRMZM2G040493	0	0	1	0	2	0	0	0	0	1	0	0	0	1	1	0	2	0	2	1	1	1	0	1	0	3	0	0	0	0	0	1	233	183	186	264	197	166	195	171	223	232	255	235	273	230	269	256
GRMZM2G163189	96	4	65	0	101	1	115	0	2	52	1	72	0	96	0	90	49	42	34	35	44	46	47	68	49	39	41	37	58	51	50	47	274	241	247	269	218	240	216	263	288	312	307	318	305	310	341	291
GRMZM2G449257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	30	63	49	50	36	34	33	58	50	49	43	40	50	54	50
GRMZM5G838403	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	418	504	466	616	461	575	549	507	146	175	148	186	101	227	113	153
GRMZM2G137407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	4	1	3	1	2	1	4	3	2	1	2	1	1
GRMZM5G889769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	24	32	35	12	20	20	21	27	40	40	43	30	38	30	46
GRMZM2G090122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G421493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
GRMZM2G119407	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	3	2	8	2	0	1	4	2	2	2	2	3	4
GRMZM2G087312	4	1	6	0	4	0	6	0	0	4	0	3	0	2	0	2	4	0	2	1	3	3	3	3	3	5	3	2	4	3	2	5	351	275	327	401	375	280	334	382	321	351	366	408	356	364	382	397
GRMZM2G703236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G101872	5	0	3	0	8	0	16	0	0	8	0	3	0	13	0	9	2	6	3	1	5	8	8	9	6	9	1	2	6	4	6	12	56	58	50	59	40	44	33	63	57	86	81	68	73	71	116	93
AC191748.3_FG001	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	1	3	2	2	1	3	0	1	2	2	2	2
GRMZM2G124911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	256	206	291	204	265	263	232	271	372	371	343	265	321	314	347
GRMZM2G011364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	619	550	638	582	555	620	550	333	481	472	456	365	515	425	427
GRMZM5G880632	5	1	1	0	1	0	3	0	0	6	0	4	0	5	0	3	1	2	4	1	1	0	3	3	2	3	2	1	1	1	1	3	32	31	20	26	16	21	16	17	13	17	11	11	14	18	20	21
GRMZM2G162962	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	5	3	1	0	3	2	0	10	2	2	1	6	2	1
GRMZM2G110378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1690	1484	1477	1460	1348	1207	1249	1215	1429	1780	1590	1628	1535	1483	1493	1512
GRMZM2G442057	42	0	30	1	39	0	39	0	0	30	0	50	0	42	0	33	22	16	15	27	21	16	23	17	24	24	32	21	23	19	24	14	264	231	229	283	262	244	254	260	224	251	240	251	226	236	222	265
GRMZM2G061795	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	12	15	8	8	11	9	5	9	6	6	5	12	11	11
GRMZM2G115451	35	0	27	0	43	0	61	0	0	7	1	7	0	19	0	22	16	7	13	4	37	15	29	15	27	8	11	12	23	9	32	9	1153	1080	1171	1463	1031	1011	1017	1153	1252	1467	1564	1462	1598	1406	1558	1492
GRMZM2G051528	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	351	118	233	148	276	81	178	223	259	104	177	215	274	145	191	147
GRMZM2G097618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G058597	2	0	2	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0	4	0	1	1	1	1	0	0	0	0	0	2	2	0	4	5	11	9	8	11	6	14	7	18	12	7	10	13	11	14
GRMZM5G823824	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	10	8	7	11	3	7	13	12	7	5	4	9	6	3	7	5
GRMZM2G131650	2	0	2	0	6	0	8	0	0	0	0	5	1	7	0	5	2	1	1	1	4	4	2	1	3	2	1	0	1	4	2	0	18	10	17	28	14	21	13	15	28	40	20	41	26	28	26	24
GRMZM2G083150	5	0	5	0	7	0	7	0	0	2	0	2	0	3	0	4	4	3	7	0	2	4	4	3	3	1	2	3	3	1	4	2	13	12	17	18	18	9	14	19	15	18	17	11	23	10	17	18
GRMZM2G084859	36	0	30	0	43	0	32	0	0	15	1	13	0	22	0	27	9	6	15	4	13	17	16	12	12	9	5	6	27	10	10	12	80	58	57	61	70	72	58	39	79	89	76	83	63	93	88	62
GRMZM2G057975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G558912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G010435	59	1	68	0	84	1	75	0	2	104	0	78	0	139	1	130	42	72	31	58	51	128	42	122	38	75	35	45	42	94	40	92	474	925	843	785	407	737	752	635	466	926	1031	939	509	864	940	818
GRMZM2G175019	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	2	0	0	0	0	3	3	1	2	0	0	0	0	0	2	1	0	9	8	4	10	8	2	7	8	13	15	23	16	13	12	17	11
GRMZM2G400559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	3	1	1	3	0	2	1	2	2	0	1	2
GRMZM2G035999	27	0	25	1	7	0	6	1	0	13	1	15	0	5	1	4	8	6	24	8	7	1	2	1	28	11	14	4	5	3	6	5	123	172	146	181	137	137	191	151	38	82	67	69	42	77	48	79
GRMZM2G095931	2	0	0	0	0	0	0	0	0	3	0	4	0	4	0	1	1	2	0	1	2	2	2	0	3	3	0	1	1	3	0	0	158	429	252	446	148	464	371	310	56	185	118	151	36	194	96	153
GRMZM2G144008	110	1	101	0	98	0	123	1	0	50	2	51	0	68	0	54	56	40	53	31	68	27	56	32	66	27	59	34	72	34	51	30	704	496	623	628	576	462	554	563	675	601	663	707	751	565	651	653
GRMZM2G367355	17	0	9	0	3	0	2	0	0	8	1	9	1	10	0	6	4	2	9	4	4	4	4	4	8	5	6	4	1	4	0	6	60	61	40	64	41	44	56	49	18	46	30	27	16	28	23	23
GRMZM2G020553	10	0	10	0	3	0	6	0	0	17	0	15	0	5	0	5	9	8	10	12	4	4	1	4	7	8	6	3	2	3	6	3	342	427	358	445	335	391	410	336	122	216	188	173	164	210	164	235
GRMZM2G704335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G049641	243	0	246	0	246	0	299	0	3	222	1	186	2	305	0	279	132	123	130	132	173	195	175	195	158	169	125	122	150	167	190	202	1192	1103	1199	1260	1022	1014	1130	1019	1087	1295	1347	1260	1241	1177	1432	1378
GRMZM2G400704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	3	0	1	3	1	1	0	3	1	0	1	3	1	0
GRMZM2G027193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	501	525	442	453	468	471	492	408	466	454	403	434	474	371	423
GRMZM2G143791	134	0	82	0	81	0	81	0	1	20	0	21	1	26	3	23	73	4	56	9	57	11	58	14	62	12	59	8	65	16	52	14	1573	1130	1582	1408	1226	948	1067	1318	1181	1349	1298	1340	1367	1148	1525	1341
GRMZM2G117633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	174	232	142	230	161	183	194	126	197	245	248	237	179	285	224	259
GRMZM2G110626	92	0	102	0	128	0	115	0	1	51	2	40	2	82	1	78	46	29	55	35	90	60	83	44	80	54	57	37	80	59	86	55	799	658	711	950	805	524	797	770	916	940	977	1066	896	709	1000	1089
GRMZM2G059339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
GRMZM5G896756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	53	56	70	58	86	63	44	48	72	80	82	49	61	63	77
GRMZM2G058681	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	2	0	1	0	2	0	1	0	1	0	2	0	1	0	0	74	187	162	139	76	217	142	147	69	199	106	103	75	204	139	132
GRMZM2G105192	3	0	1	0	1	0	1	0	0	3	0	4	0	1	0	0	0	2	3	2	0	1	0	2	3	4	0	1	1	0	2	1	1809	1489	1761	1956	1636	1440	1741	1516	1373	1638	1627	1636	1691	1448	1707	1787
GRMZM2G042715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
GRMZM2G135337	71	0	69	0	69	0	70	0	2	30	0	55	0	44	0	68	30	11	38	18	33	15	28	19	35	15	33	16	43	18	42	21	331	276	221	331	338	276	315	265	395	352	326	367	380	384	289	324
